Title,ID
Nanoparticle-based modulation of CD4<sup>+</sup> T cell effector and helper functions enhances adoptive immunotherapy.,36241639
Topological Spin Excitations in Non-Hermitian Spin Chains with a Generalized Kernel Polynomial Algorithm.,36962053
Cancer screening behaviors and preferences among women in southern India.,36632974
Editorial for Focus Issue: From chemical oscillations to applications of nonlinear dynamics: Dedicated to Richard J. Field on the occasion of his 80th birthday.,36319292
Experimental Demonstration of Quantum Overlapping Tomography.,36800476
POvaStim: An online tool for directing individualized FSH doses in ovarian stimulation.,36926531
Long DNA constructs to study helicases and nucleic acid translocases using optical tweezers.,35965011
Envelope virus-mimetic nanovaccines by hybridizing bioengineered cell membranes with bacterial vesicles.,35712077
"Spectrum of environmental surveillance of SARS-CoV-2 fragments: Questions, quests, and conquest.",36339883
Clonal dynamics underlying the skewed CD4/CD8 ratio of mouse thymocytes revealed by TCR-independent barcoding.,36064961
Excitation Spectrum and Superfluid Gap of an Ultracold Fermi Gas.,35333076
Evaluation of the electrochemical response of <i>Saccharomyces cerevisiae</i> using screen-printed carbon electrodes (SPCE) modified with oxidized multi-walled carbon nanotubes dispersed in water - Nafion®.,36479227
Matter-wave optics: Observing an ultracold atomic cloud expanding in free fall,10.22541/au.163958097.79623165/v1
"Low levels of organic compound trace elements improve the eggshell quality, antioxidant capacity, immune function, and mineral deposition of aged laying hens.",34794097
Landscape of Hopx expression in cells of the immune system.,34805566
The Induction of Antigen 85B-Specific CD8<sup>+</sup> T Cells by Recombinant BCG Protects against Mycobacterial Infection in Mice.,36674484
Screening for Brain Metastases in Patients With NSCLC: A Qualitative Study on the Psychologic Impact of Being Diagnosed With Asymptomatic Brain Metastases.,36188631
Racial and ethnic disparities in end-of-life care for patients with oesophageal cancer: death trends over time.,36776566
SZT2 maintains hematopoietic stem cell homeostasis via nutrient-mediated mTORC1 regulation.,36250465
NAFLD indirectly impairs antigen-specific CD8<sup>+</sup> T cell immunity against liver cancer in mice.,35198900
The RNA-binding protein IMP2 drives a stromal-Th17 cell circuit in autoimmune neuroinflammation. ,34914635
What Are the Minimal Conditions Required to Define a Symmetric Informationally Complete Generalized Measurement?,33784119
Structures of RecBCD in complex with phage-encoded inhibitor proteins reveal distinctive strategies for evasion of a bacterial immunity hub.,36533901
Feature importance of machine learning prediction models shows structurally active part and important physicochemical features in drug design.,34089983
"A split, conditionally active mimetic of IL-2 reduces the toxicity of systemic cytokine therapy.",36316485
"""I couldn't do what I needed to do for my own family"": Teacher-parents during COVID-19 lockdowns.",36685777
"Prevalence and genetic diversity of <i>Giardia duodenalis</i> in pet dogs from Zhengzhou, central China and the association between gut microbiota and fecal characteristics during infection.",35686142
Editorial on Remote Health Monitoring: from chronic diseases to pandemics.,33393486
Induction of potent antitumor immunity by intradermal DNA injection using a novel needle-free pyro-drive jet injector.,36000926
"Developing a clinical-pathologic model to predict genomic risk of recurrence in patients with hormone receptor positive, human epidermal growth factor receptor-2 negative, node negative breast cancer.",34091374
"Evaluation of multidisciplinary shoulder dystocia simulation training on knowledge, performance, and documentation.",34029760
Mesenchymal Stromal Cells-Derived Extracellular Vesicles Regulate Dendritic Cell Functions in Dry Eye Disease.,36611828
Helminth infection modulates number and function of adipose tissue Tregs in high fat diet-induced obesity.,35499991
Nodding syndrome: A key role for sources of nutrition?,35480298
β2-Microglobulin and β-Trace Protein in Patients Undergoing Bariatric Surgery: Non-GFR Determinants and Panel-estimated GFR Performance.,35243311
Ultrafast spectroscopy and diffraction from XUV to x-ray.,32933270
Dendritic cell-targeting chemokines inhibit colorectal cancer progression.,36654820
The Relationship Between Hematologic Parameters and Erectile Dysfunction.,34274821
A diminished immune response underlies age-related SARS-CoV-2 pathologies.,35714615
Temporal dynamics of TNF-mediated changes in hematopoietic stem cell function and recovery.,36968066
Differential modulation of endothelial cytoplasmic protrusions after exposure to graphene-family nanomaterials.,35560286
Intent to get vaccinated against COVID-19 pandemic and its associated factors among adults with a chronic medical condition.,35223427
Thoracic aortic stent graft placement and simultaneous screw removal for a screw hitting the aorta.,33644287
<i>Sirt6</i> Regulates the Development of Medullary Thymic Epithelial Cells and Contributes to the Establishment of Central Immune Tolerance.,33869219
Light-activated gold nanorods for effective therapy of venous malformation.,36052154
Early life adversity and increased antisocial and depressive tendencies in young adults with family histories of alcohol and other substance use disorders: Findings from the Family Health Patterns project.,35434243
Deep Reinforcement Learning Control of Quantum Cartpoles.,32955300
Multi-gas quartz-enhanced photoacoustic sensor for environmental monitoring exploiting a Vernier effect-based quantum cascade laser.,36105377
The gut microbiota of people with asthma influences lung inflammation in gnotobiotic mice.,36824270
Ethanol Ablation Therapy Drives Immune-Mediated Antitumor Effects in Murine Breast Cancer Models.,36230591
Memory CD8 T Cells Protect against Cytomegalovirus Disease by Formation of Nodular Inflammatory Foci Preventing Intra-Tissue Virus Spread.,35746617
Noroviruses are highly infectious but there is strong variation in host susceptibility and virus pathogenicity.,32721875
Human HELB is a processive motor protein that catalyzes RPA clearance from single-stranded DNA.,35385349
"Protection from T cell-dependent colitis by the helminth-derived immunomodulatory mimic of transforming growth factor-β, <i>Hp</i>-TGM.",36855464
Balance between immunoregulatory B cells and plasma cells drives pancreatic tumor immunity.,36099917
A population of dermal Langerin<sup>+</sup> dendritic cells promote the inflammation in mouse model of atopic dermatitis.,36304463
Focus on Recent Advances in Electrical Impedance Tomography.,31680663
Exploring behavior change techniques for reablement: A scoping review.,35427880
Extra-articular resection of the hip joint for pelvic sarcomas: Are there any oncological and functional risks compared with intra-articular resection?,34815929
Neutrophils drive pulmonary vascular leakage in MHV-1 infection of susceptible A/J mice.,36685578
Delineating the transcriptional landscape and clonal diversity of virus-specific CD4<sup>+</sup> T cells during chronic viral infection.,36255051
Glomerular filtration rate estimation for carboplatin dosing in patients with gynaecological cancers.,35227967
Multifunctional Interleukin-24 Resolves Neuroretina Autoimmunity via Diverse Mechanisms.,36233291
Giant cutaneous cyst in a dog infected by Cercopithifilaria bainae.,32448530
Tumor necroptosis-mediated shedding of cell surface proteins promotes metastasis of breast cancer by suppressing anti-tumor immunity.,36703228
Effects of Different Routes and Forms of Vitamin D Administration on Mesenteric Lymph Node CD4+ T Cell Polarization and Intestinal Injury in Obese Mice Complicated with Polymicrobial Sepsis.,36079813
Preferences of men who have sex with men for performing anal self-examination for the detection of anal syphilis in Australia: A discrete choice experiment.,35243457
Contribution of circulatory cells to asthma exacerbations and lung tissue-resident CD4 T cell memory.,35936001
"A Bayesian approach to improving spatial estimates of prevalence of COVID-19 after accounting for misclassification bias in surveillance data in Philadelphia, PA.",33509436
Evaluating Antibody Pharmacokinetics as Prerequisite for Determining True Efficacy as Shown by Dual Targeting of PD-1 and CD96.,36140247
RNA binding protein DDX5 restricts RORγt<sup>+</sup> T<sub>reg</sub> suppressor function to promote intestine inflammation.,36724232
"T Cell-Intrinsic IRF5 Regulates T Cell Signaling, Migration, and Differentiation and Promotes Intestinal Inflammation.",32610123
ATF7ip Targets Transposable Elements for H3K9me3 Deposition to Modify CD8<sup>+</sup> T Cell Effector and Memory Responses.,35110421
Progressive Myoclonic Epilepsy'-like presentation of Cerebrotendinous Xanthomatosis in an Indian Family with A Novel C.646+1G>A Splice Site Mutation.,33458645
"Erratum: Realization of Spin Gapless Semiconductors: The Heusler Compound Mn_{2}CoAl [Phys. Rev. Lett. 110, 100401 (2013)].",30822019
Announcing the Emerging Investigators Special Collection and Best Paper Awards.,30876344
Effects of the Glutamine Administration on T Helper Cell Regulation and Inflammatory Response in Obese Mice Complicated with Polymicrobial Sepsis.,33223959
Substance P Release by Sensory Neurons Triggers Dendritic Cell Migration and Initiates the Type-2 Immune Response to Allergens.,33098765
IL-10-producing Th1 cells possess a distinct molecular signature in malaria,36594463
"Osteopontin contributes to virus resistance associated with type I IFN expression, activation of downstream ifn-inducible effector genes, and CCR2<sup>+</sup>CD115<sup>+</sup>CD206<sup>+</sup> macrophage infiltration following ocular HSV-1 infection of mice.",36685562
The antimicrobial peptide cathelicidin drives development of experimental autoimmune encephalomyelitis in mice by affecting Th17 differentiation.,36026478
Epigenetic therapy to enhance therapeutic effects of PD-1 inhibition in therapy-resistant melanoma.,34753889
"Local, multimodal intralesional therapy renders distant brain metastases susceptible to PD-L1 blockade in a preclinical model of triple-negative breast cancer.",34754037
Designing epitope-focused vaccines<i>via</i>antigen reorientation,10.1101/2022.12.20.521291
Cigarette smoke-induced reduction of C1q promotes emphysema. ,31112138
Low-dose interleukin-2 can improve salivary secretion but not lymphocyte infiltration of salivary glands in a murine model of Sjögren's syndrome.,36244973
Tumor-Associated Lymphatics Upregulate MHC-II to Suppress Tumor-Infiltrating Lymphocytes.,36362253
Immune response evaluation in <i>Balb/c</i> mice after crude extract of <i>Anisakis typica</i> sensitization.,31849412
S1PR<sub>4</sub> deficiency results in reduced germinal center formation but only marginally affects antibody production.,36532028
Long-term immune protection against SARS-CoV-2 escape variants upon a single vaccination with murine cytomegalovirus expressing the spike protein,10.1101/2022.11.25.517953
Mechanism of polyhydroxy alcohol-mediated curing on moisture migration of minced pork tenderloin: On the basis of molecular docking.,36211757
Prolonged double antiplatelet therapy vs association of antiplatelet and low dose of anticoagulant therapy: PEGASUS or COMPASS?,31763434
Ketogenic diet and ketone bodies enhance the anticancer effects of PD-1 blockade. ,33320838
Testosterone Promotes the Intestinal Replication and Dissemination of Coxsackievirus B3 in an Oral Inoculation Mouse Model.,36037480
A stapled peptide mimetic of the CtIP tetramerization motif interferes with double-strand break repair and replication fork protection. ,33608267
Arthritis flares mediated by tissue-resident memory T cells in the joint.,34706228
Extended SARS-CoV-2 RBD booster vaccination induces humoral and cellular immune tolerance in mice.,36338436
A Multitrait Locus Regulates Sarbecovirus Pathogenesis.,35862771
Hepcidin-Mediated Hypoferremia Disrupts Immune Responses to Vaccination and Infection.,33665641
CD49a Regulates Cutaneous Resident Memory CD8<sup>+</sup> T Cell Persistence and Response.,32877667
Diet Induced Obesity and Diabetes Enhance Mortality and Reduces Vaccine Efficacy for SARS-CoV-2,10.1101/2022.10.15.512291
Aberrant expansion of follicular helper T cell subsets in patients with systemic lupus erythematosus.,36119056
A TLR7-nanoparticle adjuvant promotes a broad immune response against heterologous strains of influenza and SARS-CoV-2.,36717665
Sonodynamical reversion of immunosuppressive microenvironment in prostate cancer via engineered exosomes.,35236203
Primary germinal center-resident T follicular helper cells are a physiologically distinct subset of CXCR5<sup>hi</sup>PD-1<sup>hi</sup> T follicular helper cells.,35081372
Bulk and single-molecule analysis of a bacterial DNA2-like helicase-nuclease reveals a single-stranded DNA looping motor.,32621607
Inducible de novo expression of neoantigens in tumor cells and mice.,32719479
Endogenous retrovirus envelope as a tumor-associated immunotherapeutic target in murine osteosarcoma.,34278266
Hsf1 promotes hematopoietic stem cell fitness and proteostasis in response to ex vivo culture stress and aging.,34388375
VEGF Receptor 1 Promotes Hypoxia-Induced Hematopoietic Progenitor Proliferation and Differentiation.,35634304
CCL28 Downregulation Attenuates Pancreatic Cancer Progression Through Tumor Cell-Intrinsic and -Extrinsic Mechanisms.,34939465
An Epidemic Zika Virus Isolate Drives Enhanced T Follicular Helper Cell and B Cell-Mediated Immunity.,35346966
Engineered human cytokine/antibody fusion proteins expand regulatory T cells and confer autoimmune disease protection.,36261022
IL-17 sustains the plasma cell response via p38-mediated Bcl-xL RNA stability in lupus pathogenesis.,32917979
The Impact of <i>Escherichia coli</i> Probiotic Strain O83:K24:H31 on the Maturation of Dendritic Cells and Immunoregulatory Functions In Vitro and In Vivo.,35626660
Liar! Liar! Identifying eligibility fraud by applicants in digital health research.,34094883
Specific immunosuppressive role of nanodrugs targeting calcineurin in innate myeloid cells.,36124235
A Multitrait Locus Regulates Sarbecovirus Pathogenesis,10.1101/2022.06.01.494461
Optimization of storage conditions for lipid nanoparticle-formulated self-replicating RNA vaccines.,36414195
Coordinated Viral Control by Cytotoxic Lymphocytes Ensures Optimal Adaptive NK Cell Responses.,32966792
Antibiotic pretreatment attenuates liver ischemia-reperfusion injury by Farnesoid X receptor activation.,35597796
Dynamics of Three-Body Correlations in Quenched Unitary Bose Gases.,29570331
Tumor-Specific T Cells Exacerbate Mortality and Immune Dysregulation during Sepsis.,33911005
Metabolic control and oxidative stress in pathological cardiac remodelling.,27247363
Conclusive Experimental Demonstration of One-Way Einstein-Podolsky-Rosen Steering.,30240270
A rose flavor compound activating the NRF2 pathway in dendritic cells ameliorates contact hypersensitivity in mice.,36845043
Involvement of autophagy in exacerbation of eosinophilic airway inflammation in a murine model of obese asthma.,35098856
Spermidine enhances the efficacy of adjuvant in HBV vaccination in mice.,36972390
The Dynamic Change of Immune Responses Between Acute and Recurrence Stages of Rodent Malaria Infection.,35250958
Intravenous Arginine Administration Benefits CD4+ T-Cell Homeostasis and Attenuates Liver Inflammation in Mice with Polymicrobial Sepsis. ,32290120
Alterations of mesenchymal stem cells on regulating Th17 and Treg differentiation in severe aplastic anemia.,36719260
Inflammation Controls Susceptibility of Immune-Experienced Mice to Sepsis.,35878936
Memory CD8<sup>+</sup> T cells upregulate glycolysis and effector functions under limiting oxygen conditions.,36482267
Sirt6-mediated epigenetic modification of DNA accessibility is essential for Pou2f3-induced thymic tuft cell development.,35668088
Therapeutic Implications of Targeting Heat Shock Protein 70 by Immunization or Antibodies in Experimental Skin Inflammation.,33708208
Identification of heterogeneous subsets of aortic interleukin-17A-expressing CD4<sup>+</sup> T cells in atherosclerotic mice.,35932160
Upregulation of Phosphodiesterase 2A Augments T Cell Activation by Changing cGMP/cAMP Cross-Talk.,34675812
BET inhibitors rescue anti-PD1 resistance by enhancing TCF7 accessibility in leukemia-derived terminally exhausted CD8<sup>+</sup> T cells.,36681742
Modest Declines in Proteome Quality Impair Hematopoietic Stem Cell Self-Renewal.,31914399
TLR5 agonists enhance anti-tumor immunity and overcome resistance to immune checkpoint therapy.,36635337
Low-dose self-amplifying mRNA COVID-19 vaccine drives strong protective immunity in non-human primates against SARS-CoV-2 infection.,35672369
TRIB2 safeguards naive T cell homeostasis during aging.,36884349
Alantolactone alleviates collagen-induced arthritis and inhibits Th17 cell differentiation through modulation of STAT3 signalling.,33556301
Evaluating cytokine production by flow cytometry using brefeldin A in mice.,33458706
Alphavirus Replicon Particle Vaccine Breaks B Cell Tolerance and Rapidly Induces IgG to Murine Hematolymphoid Tumor Associated Antigens.,35686131
Toltrazuril and diclazuril: comparative evaluation of anti-coccidial drugs using a murine model.,35922919
Analysis of the cerebellar molecular stress response led to first evidence of a role for FKBP51 in brain FKBP52 expression in mice and humans.,34632006
Prediction model for utilization of complementary and alternative medicine for sports injuries among Korean elite collegiate athletes.,32257796
